buying,maint,doors,persons,lugboot,safety,class
vhigh,vhigh,dos,dos,small,low,unacc
vhigh,vhigh,dos,dos,small,med,unacc
vhigh,vhigh,dos,dos,small,high,unacc
vlow,vhigh,dos,dos,med,low,unacc
vlow,vhigh,dos,dos,med,med,unacc
vlow,vhigh,dos,dos,med,high,unacc
vlow,vhigh,dos,dos,big,low,unacc
vlow,vhigh,dos,dos,big,med,supacc
vlow,vhigh,dos,dos,big,high,supacc
vhigh,vhigh,dos,four,small,low,supacc
vhigh,vhigh,dos,four,small,med,supacc
vhigh,vhigh,dos,four,small,high,outacc
vhigh,vhigh,dos,four,med,low,outacc
vhigh,vhigh,dos,four,med,med,outacc
vhigh,vhigh,dos,four,med,high,outacc
vhigh,vhigh,dos,four,big,low,outacc
vlow,vhigh,dos,four,big,med,unacc
vlow,vhigh,dos,four,big,high,unacc
vlow,vhigh,dos,more,small,low,unacc
vlow,vhigh,dos,more,small,med,unacc
vlow,vhigh,dos,more,small,high,unacc
vlow,vhigh,dos,more,med,low,unacc
vlow,vhigh,dos,more,med,med,supacc
vlow,vhigh,dos,more,med,high,supacc
vlow,vhigh,dos,more,big,low,supacc
vlow,vhigh,dos,more,big,med,supacc
vhigh,vhigh,dos,more,big,high,supacc
vhigh,vhigh,tres,dos,small,low,supacc
vhigh,vhigh,tres,dos,small,med,supacc
vhigh,vhigh,tres,dos,small,high,supacc
